DriverKey,DriverName,ShiftTimeKey,CoverageKey,CompanyKey
1,D01Name,1,1,1
2,D02Name,1,2,1
3,D03Name,1,3,1
4,D04Name,1,4,1
5,D05Name,1,5,1
6,D06Name,1,6,1
7,D07Name,1,7,1
8,D08Name,1,8,1
9,D09Name,2,1,1
10,D10Name,2,2,1
11,D11Name,2,3,1
12,D12Name,2,4,1
13,D13Name,2,5,1
14,D14Name,2,6,1
15,D15Name,2,7,1
16,D16Name,2,8,1
17,D17Name,3,1,1
18,D18Name,3,2,1
19,D19Name,3,3,1
20,D20Name,3,4,1
21,D21Name,3,5,1
22,D22Name,3,6,1
23,D23Name,3,7,1
24,D24Name,3,8,1
25,F01Name,1,1,2
26,F02Name,1,2,2
27,F03Name,1,3,2
28,F04Name,1,4,2
29,F05Name,1,5,2
30,F06Name,1,6,2
31,F07Name,1,7,2
32,F08Name,1,8,2
33,F09Name,2,1,2
34,F10Name,2,2,2
35,F11Name,2,3,2
36,F12Name,2,4,2
37,F13Name,2,5,2
38,F14Name,2,6,2
39,F15Name,2,7,2
40,F16Name,2,8,2
41,F17Name,3,1,2
42,F18Name,3,2,2
43,F19Name,3,3,2
44,F20Name,3,4,2
45,F21Name,3,5,2
46,F22Name,3,6,2
47,F23Name,3,7,2
48,F24Name,3,8,2
49,L01Name,1,1,3
50,L02Name,1,2,3
51,L03Name,1,3,3
52,L04Name,1,4,3
53,L05Name,1,5,3
54,L06Name,1,6,3
55,L07Name,1,7,3
56,L08Name,1,8,3
57,L09Name,2,1,3
58,L10Name,2,2,3
59,L11Name,2,3,3
60,L12Name,2,4,3
61,L13Name,2,5,3
62,L14Name,2,6,3
63,L15Name,2,7,3
64,L16Name,2,8,3
65,L17Name,3,1,3
66,L18Name,3,2,3
67,L19Name,3,3,3
68,L20Name,3,4,3
69,L21Name,3,5,3
70,L22Name,3,6,3
71,L23Name,3,7,3
72,L24Name,3,8,3
73,S01Name,1,1,4
74,S02Name,1,2,4
75,S03Name,1,3,4
76,S04Name,1,4,4
77,S05Name,1,5,4
78,S06Name,1,6,4
79,S07Name,1,7,4
80,S08Name,1,8,4
81,S09Name,2,1,4
82,S10Name,2,2,4
83,S11Name,2,3,4
84,S12Name,2,4,4
85,S13Name,2,5,4
86,S14Name,2,6,4
87,S15Name,2,7,4
88,S16Name,2,8,4
89,S17Name,3,1,4
90,S18Name,3,2,4
91,S19Name,3,3,4
92,S20Name,3,4,4
93,S21Name,3,5,4
94,S22Name,3,6,4
95,S23Name,3,7,4
96,S24Name,3,8,4
